code,ingredient,dosage,name,price
1179407G2022,リスペリドン,３７．５ｍｇ１キット（懸濁用液付）,リスパダール　コンスタ筋注用３７．５ｍｇ,32423.0
1179407G3029,リスペリドン,５０ｍｇ１キット（懸濁用液付）,リスパダール　コンスタ筋注用５０ｍｇ,39403.0
1179408E1020,オランザピン,１０ｍｇ１瓶,ジプレキサ筋注用１０ｍｇ,1641.0
1179409G1025,パリペリドンパルミチン酸エステル,２５ｍｇ１キット,ゼプリオン水懸筋注２５ｍｇシリンジ,17160.0
1179409G2021,パリペリドンパルミチン酸エステル,５０ｍｇ１キット,ゼプリオン水懸筋注５０ｍｇシリンジ,27994.0
1179409G3028,パリペリドンパルミチン酸エステル,７５ｍｇ１キット,ゼプリオン水懸筋注７５ｍｇシリンジ,36826.0
1179409G4024,パリペリドンパルミチン酸エステル,１００ｍｇ１キット,ゼプリオン水懸筋注１００ｍｇシリンジ,44680.0
1179409G5020,パリペリドンパルミチン酸エステル,１５０ｍｇ１キット,ゼプリオン水懸筋注１５０ｍｇシリンジ,57335.0
1179409G6027,パリペリドンパルミチン酸エステル,１７５ｍｇ１キット,ゼプリオンＴＲＩ水懸筋注１７５ｍｇシリンジ,62888.0
1179409G7023,パリペリドンパルミチン酸エステル,２６３ｍｇ１キット,ゼプリオンＴＲＩ水懸筋注２６３ｍｇシリンジ,82339.0
1179409G8020,パリペリドンパルミチン酸エステル,３５０ｍｇ１キット,ゼプリオンＴＲＩ水懸筋注３５０ｍｇシリンジ,100026.0
1179409G9026,パリペリドンパルミチン酸エステル,５２５ｍｇ１キット,ゼプリオンＴＲＩ水懸筋注５２５ｍｇシリンジ,130955.0
1179410E1027,アリピプラゾール水和物,３００ｍｇ１瓶（懸濁用液付）,エビリファイ持続性水懸筋注用３００ｍｇ,34063.0
1179410E2023,アリピプラゾール水和物,４００ｍｇ１瓶（懸濁用液付）,エビリファイ持続性水懸筋注用４００ｍｇ,42573.0
1179410G1028,アリピプラゾール水和物,３００ｍｇ１キット,エビリファイ持続性水懸筋注用３００ｍｇシリンジ,34376.0
1179410G2024,アリピプラゾール水和物,４００ｍｇ１キット,エビリファイ持続性水懸筋注用４００ｍｇシリンジ,41300.0
1190401A1015,エダラボン,３０ｍｇ２０ｍＬ１管,エダラボン３０ｍｇ２０ｍＬ注射液,832.0
1190401A1023,エダラボン,３０ｍｇ２０ｍＬ１管,ラジカット注３０ｍｇ,2019.0
1190401A1155,エダラボン,３０ｍｇ２０ｍＬ１管,エダラボン点滴静注液３０ｍｇ「ＮＳ」,916.0
1190401A1171,エダラボン,３０ｍｇ２０ｍＬ１管,エダラボン点滴静注液３０ｍｇ「ケミファ」,1350.0
1190401A1201,エダラボン,３０ｍｇ２０ｍＬ１管,エダラボン点滴静注液３０ｍｇ「日医工」,1350.0
1190401A2011,エダラボン,３０ｍｇ２０ｍＬ１瓶,エダラボン３０ｍｇ２０ｍＬ注射液,832.0
1190401G1018,エダラボン,３０ｍｇ１００ｍＬ１キット,エダラボン３０ｍｇ１００ｍＬキット,1097.0
1190401G1026,エダラボン,３０ｍｇ１００ｍＬ１キット,ラジカット点滴静注バッグ３０ｍｇ,2019.0
1190401G1042,エダラボン,３０ｍｇ１００ｍＬ１キット,エダラボン点滴静注３０ｍｇバッグ「アイロム」,1468.0
